,title,abstract
0,Field evaluation of a rapid antigen test (Panbio COVID-19 Ag Rapid Test Device) for COVID-19 diagnosis in primary healthcare centres.,"Objectives: To our knowledge no previous study has assessed the performance of a rapid antigen diagnostic immunoassay (RAD) conducted at the point of care (POC). We evaluated the Panbio™ COVID-19 Ag Rapid Test Device for diagnosis of coronavirus 2019 disease (COVID-19) in symptomatic patients (n = 412) attending primary healthcare centres. Methods: RAD was performed immediately after sampling following the manufacturer's instructions (reading at 15 min). RT-PCRs were carried out within 24 h of specimen collection. Samples displaying discordant results were processed for culture in Vero E6 cells. Presence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in cell cultures was confirmed by RT-PCR. Results: Out of 412 patients, 43 (10.4%) tested positive by RT-PCR and RAD, and 358 (86.9%) tested negative by both methods; discordant results (RT-PCR+/RAD-) were obtained in 11 patients (2.7%). Overall specificity and sensitivity of rapid antigen detection (RAD) was 100% (95%CI 98.7-100%) and 79.6% (95%CI 67.0-88.8%), respectively, taking RT-PCR as the reference. Overall RAD negative predictive value for an estimated prevalence of 5% and 10% was 99% (95%CI 97.4-99.6%) and 97.9% (95%CI 95.9-98.9), respectively. SARS-CoV-2 could not be cultured from specimens yielding RT-PCR+/RAD- results (n = 11). Conclusion: The Panbio™ COVID-19 Ag Rapid Test Device performed well as a POC test for early diagnosis of COVID-19 in primary healthcare centres. More crucially, the data suggested that patients with RT-PCR-proven COVID-19 testing negative by RAD are unlikely to be infectious."
1,Detection technologies and recent developments in the diagnosis of COVID-19 infection.,"COVID-19 is a disease caused by SARS-CoV-2 capable of causing mild to severe infections in humans. Since its first appearance in China in December 2019, the pandemic has spread rapidly throughout the world. Despite considerable efforts made to contain the disease, the virus has continued its prevalence in many countries with varying degrees of clinical manifestations. To contain this pandemic, collaborative approach involving accurate diagnosis, epidemiology, surveillance, and prophylaxis is essential. However, proper diagnosis using rapid technologies plays a crucial role. With increasing incidence of COVID-19 cases, the accurate and early detection of the SARS-CoV-2 is need of the hour for effective prevention and management of COVID-19 cases as well as to curb its spread. RT-qPCR assay is considered to be the gold standard for the early detection of virus, but this protocol has limited application to use as bedside test because of its technical complexity. To address these challenges, several POC assays have been developed to facilitate the COVID-19 diagnosis outside the centralized testing laboratories as well to accelerate the clinical decision making with a least turnaround time. Hence, in this report, we review different nucleic acid-based and serological techniques available for the diagnosis and effective prevention of COVID-19. KEY POINTS : • Provides comprehensive information on the different diagnostic tools available for COVID-19 • Nucleic acid based tests or antigen detection tests are used for diagnostic purpose • Accurate diagnosis is essential for the efficient management of COVID-19."
2,Benefits and limitations of serological assays in COVID-19 infection.,"Accurate and rapid diagnostic tests are critical for achieving control of coronavirus disease 2019 (covid-19), a pandemic illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Diagnostic tests for covid-19 fall into two main categories: molecular tests that detect viral RNA, and serological tests that detect anti-SARS-CoV-2 immunoglobulins. Reverse transcriptase polymerase chain reaction (RT-PCR), a molecular test, has become the gold standard for diagnosis of covid-19; however, this test has many limitations that include potential false negative results, changes in diagnostic accuracy over the disease course, and precarious availability of test materials. Serological tests have generated substantial interest as an alternative or complement to RT-PCR and other Nucleic acid tests in the diagnosis of acute infection, as some might be cheaper and easier to implement at the point of care. A clear advantage of these tests over RT-PCR is that they can identify individuals previously infected by SARS-CoV-2, even if they never underwent testing while acutely ill. Many serological tests for covid-19 have become available in a short period, including some marketed for use as rapid, point-of-care tests. The pace of development has, however, exceeded that of rigorous evaluation, and important uncertainty about test accuracy remains."
3,Effectiveness of COVID-19 diagnosis and management tools: A review.,"Objective: To review the available literature concerning the effectiveness of the COVID-19 diagnostic tools. Background: With the absence of specific treatment/vaccines for the coronavirus COVID-19, the most appropriate approach to control this infection is to quarantine people and isolate symptomatic people and suspected or infected cases. Although real-time reverse transcription-polymerase chain reaction (RT-PCR) assay is considered the first tool to make a definitive diagnosis of COVID-19 disease, the high false negative rate, low sensitivity, limited supplies and strict requirements for laboratory settings might delay accurate diagnosis. Computed tomography (CT) has been reported as an important tool to identify and investigate suspected patients with COVID-19 disease at early stage. Key findings: RT-PCR shows low sensitivity (60-71%) in diagnosing patients with COVID-19 infection compared to the CT chest. Several studies reported that chest CT scans show typical imaging features in all patients with COVID-19. This high sensitivity and initial presentation in CT chest can be helpful in rectifying false negative results obtained from RT-PCR. As COVID-19 has similar manifestations to other pneumonia diseases, artificial intelligence (AI) might help radiologists to differentiate COVID-19 from other pneumonia diseases. Conclusion: Although CT scan is a powerful tool in COVID-19 diagnosis, it is not sufficient to detect COVID-19 alone due to the low specificity (25%), and challenges that radiologists might face in differentiating COVID-19 from other viral pneumonia on chest CT scans. AI might help radiologists to differentiate COVID-19 from other pneumonia diseases. Implication for practice: Both RT-PCR and CT tests together would increase sensitivity and improve quarantine efficacy, an impact neither could achieve alone."
4,False-negative results of initial RT-PCR assays for COVID-19: A systematic review.,"Background: A false-negative case of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection is defined as a person with suspected infection and an initial negative result by reverse transcription-polymerase chain reaction (RT-PCR) test, with a positive result on a subsequent test. False-negative cases have important implications for isolation and risk of transmission of infected people and for the management of coronavirus disease 2019 (COVID-19). We aimed to review and critically appraise evidence about the rate of RT-PCR false-negatives at initial testing for COVID-19. Methods: We searched MEDLINE, EMBASE, LILACS, as well as COVID-19 repositories, including the EPPI-Centre living systematic map of evidence about COVID-19 and the Coronavirus Open Access Project living evidence database. Two authors independently screened and selected studies according to the eligibility criteria and collected data from the included studies. The risk of bias was assessed using the Quality Assessment of Diagnostic Accuracy Studies (QUADAS-2) tool. We calculated the proportion of false-negative test results using a multilevel mixed-effect logistic regression model. The certainty of the evidence about false-negative cases was rated using the GRADE approach for tests and strategies. All information in this article is current up to July 17, 2020. Results: We included 34 studies enrolling 12,057 COVID-19 confirmed cases. All studies were affected by several risks of bias and applicability concerns. The pooled estimate of false-negative proportion was highly affected by unexplained heterogeneity (tau-squared = 1.39; 90% prediction interval from 0.02 to 0.54). The certainty of the evidence was judged as very low due to the risk of bias, indirectness, and inconsistency issues. Conclusions: There is substantial and largely unexplained heterogeneity in the proportion of false-negative RT-PCR results. The collected evidence has several limitations, including risk of bias issues, high heterogeneity, and concerns about its applicability. Nonetheless, our findings reinforce the need for repeated testing in patients with suspicion of SARS-Cov-2 infection given that up to 54% of COVID-19 patients may have an initial false-negative RT-PCR (very low certainty of evidence). Systematic review registration: Protocol available on the OSF website: https://tinyurl.com/vvbgqya."
5,COVID-19 - Recent advancements in identifying novel vaccine candidates and current status of upcoming SARS-CoV-2 vaccines.,"The COVID-19 pandemic caused by SARS-CoV-2 has spread rapidly. To date, countries have relied on the prevention of the disease through isolation, quarantine, and clinical care of affected individuals. However, studies on the roles of asymptomatic and mildly infected subjects in disease transmission, use of antiviral drugs, and vaccination of the general population will be very important for mitigating the effects of the eventual return of this pandemic. Initial investigations are ongoing to evaluate antigenic structures of SARS-CoV-2 and the immunogenicity of vaccine candidates. There also is a need to comprehensively compile the details of previous studies on SARS-related vaccines that can be extrapolated to identify potent vaccine targets for developing COVID-19 vaccines. This review aims to analyze previous studies, current status, and future possibilities for producing SARS-CoV-2 vaccines."
6,Systematic review with meta-analysis of the accuracy of diagnostic tests for COVID-19.,"Objective: To collate the evidence on the accuracy parameters of all available diagnostic methods for detecting SARS-CoV-2. Methods: A systematic review with meta-analysis was performed. Searches were conducted in Pubmed and Scopus (April 2020). Studies reporting data on sensitivity or specificity of diagnostic tests for COVID-19 using any human biological sample were included. Results: Sixteen studies were evaluated. Meta-analysis showed that computed tomography has high sensitivity (91.9% [89.8%-93.7%]), but low specificity (25.1% [21.0%-29.5%]). The combination of IgM and IgG antibodies demonstrated promising results for both parameters (84.5% [82.2%-86.6%]; 91.6% [86.0%-95.4%], respectively). For RT-PCR tests, rectal stools/swab, urine, and plasma were less sensitive while sputum (97.2% [90.3%-99.7%]) presented higher sensitivity for detecting the virus. Conclusions: RT-PCR remains the gold standard for the diagnosis of COVID-19 in sputum samples. However, the combination of different diagnostic tests is highly recommended to achieve adequate sensitivity and specificity."
7,Should RT-PCR be considered a gold standard in the diagnosis of COVID-19?,"To face the new Covid‐19 pandemic, the need for early and accurate diagnosis of the disease among suspected cases quickly became obvious for effective management, and for better control of the spread of the disease in the population. Since the beginning of this disease epidemic caused by the severe acute respiratory syndrome coronavirus‐2 (SARS‐CoV‐2), reverse transcriptase polymerase chain reaction (RT‐PCR) has routinely been used to confirm diagnosis. However, several authors have pointed out the poor performance of this technique, particularly in terms of sensitivity.1,2 This article is protected by copyright. All rights reserved."
8,Update in COVID-19 in the intensive care unit from the 2020 HELLENIC Athens International symposium.,"The 2020 International Web Scientific Event in COVID-19 pandemic in critically ill patients aimed at updating the information and knowledge on the COVID-19 pandemic in the intensive care unit. Experts reviewed the latest literature relating to the COVID-19 pandemic in critically ill patients, such as epidemiology, pathophysiology, phenotypes of infection, COVID-19 as a systematic infection, molecular diagnosis, mechanical ventilation, thromboprophylaxis, COVID-19 associated co-infections, immunotherapy, plasma treatment, catheter-related bloodstream infections, artificial intelligence for COVID-19, and vaccination. Antiviral therapy and co-infections are out of the scope of this review. In this review, each of these issues is discussed with key messages regarding management and further research being presented after a brief review of available evidence."
9,Recent Developments on Therapeutic and Diagnostic Approaches for COVID-19.,"The ongoing pandemic of coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has made a serious public health threat worldwide with millions of people at risk in a growing number of countries. Though there are no clinically approved antiviral drugs and vaccines for COVID-19, attempts are ongoing for clinical trials of several known antiviral drugs, their combination, as well as development of vaccines in patients with confirmed COVID-19. This review focuses on the latest approaches to diagnostics and therapy of COVID-19. We have summarized recent progress on the conventional therapeutics such as antiviral drugs, vaccines, anti-SARS-CoV-2 antibody treatments, and convalescent plasma therapy which are currently under extensive research and clinical trials for the treatment of COVID-19. The developments of nanoparticle-based therapeutic and diagnostic approaches have been also discussed for COVID-19. We have assessed recent literature data on this topic and made a summary of current development and future perspectives."
